"route_name","route_type","direction","stop_name","stop_number"
"53","Urban","GSBS4 -> ICPM1","Ras Al Khor, Comm. Complex 2","18"
"53","Urban","ICPM1 -> GSBS4","","5"
"53","Urban","ICPM1 -> GSBS4","","11"
"53","Urban","ICPM1 -> GSBS4","","14"
"BM1","Marine","MMWS1 -> MTWS1","Marina Walk Marine Transport Station 1","1"
"F08","Feeder","NTSPS1 -> DFCFC1","Al Nahda, 19A Street 1","2"
"F08","Feeder","NTSPS1 -> DFCFC1","Damascus Road 3-1","12"
"F18","Feeder","OMMST1 -> OMMST1","","5"
"F18","Feeder","OMMST1 -> OMMST1","","8"
"F20","Feeder","BBMS1 -> BBMS1","Al Wasl, Street 35, Al Ittihad Health Ce","16"
"F21","Feeder","ANMS4 -> ANMS4","","4"
"F21","Feeder","ANMS4 -> ANMS4","","7"
"F21","Feeder","ANMS4 -> ANMS4","","10"
"F21","Feeder","ANMS4 -> ANMS4","","13"
"F24","Feeder","SMS2 -> QIA3T1","","1"
"F24","Feeder","SMS2 -> QIA3T1","","4"
"F31","Feeder","TMDBST1 -> DICMSL1","","14"
"F31","Feeder","TMDBST1 -> DICMSL1","","17"
"F35","Feeder","MEMS1 -> MEMS1","Mall of the Emirates, Saleh Bin Lahej Bu","30"
"13","Urban","GSBS9 -> QSDH11","","0"
"13","Urban","GSBS9 -> QSDH11","","3"
"13","Urban","GSBS9 -> QSDH11","","6"
"13","Urban","GSBS9 -> QSDH11","Muhaisnah 2, Galadari Labour Camp 1","35"
"BM1","Marine","MPWS1 -> MTWS1","","1"
"BM2","Marine","JWTS1 -> DFCS1","","1"
"F08","Feeder","NTSPS1 -> DFCFC1","","2"
"F18","Feeder","OMMST1 -> OMMST1","","6"
"F18","Feeder","OMMST1 -> OMMST1","","9"
"F21","Feeder","ANMS4 -> ANMS4","","0"
"F21","Feeder","ANMS4 -> ANMS4","","3"
"F21","Feeder","ANMS4 -> ANMS4","","6"
"F24","Feeder","SMS2 -> QIA3T1","","2"
"F24","Feeder","SMS2 -> QIA3T1","","5"
"F24","Feeder","SMS2 -> QIA3T1","","8"
"F24","Feeder","SMS2 -> QIA3T1","Sahara Center 1","4"
"F25","Feeder","FGBMLS1 -> QCRMT1","","17"
"F25","Feeder","FGBMLS1 -> QCRMT1","","20"
"F25","Feeder","FGBMLS1 -> QCRMT1","","23"
"F25","Feeder","FGBMLS1 -> QCRMT1","","26"
"F41","Feeder","BBMSL1 -> BBMSL1","Lillian Tower 2","18"
"JLT1","Urban","DMSL1 -> DMSL1","","1"
"22","Urban","DCCT1 -> AN1T21","Dubai Womens College 1","8"
"53","Urban","ICPM1 -> GSBS4","","1"
"53","Urban","ICPM1 -> GSBS4","","4"
"53","Urban","ICPM1 -> GSBS4","","7"
"53","Urban","ICPM1 -> GSBS4","","10"
"F08","Feeder","DFCFC1 -> NTSPS1","","2"
"F08","Feeder","DFCFC1 -> NTSPS1","","5"
"F24","Feeder","QIA3T1 -> SMS2","","1"
"F24","Feeder","QIA3T1 -> SMS2","","4"
"F24","Feeder","QIA3T1 -> SMS2","","7"
"F31","Feeder","TMDBST1 -> DICMSL1","The Meadows, Dubai British School","0"
"F31","Feeder","TMDBST1 -> DICMSL1","The Springs, Entrance gate 5-1","6"
"F35","Feeder","MEMS1 -> MEMS1","Al Barsha, Veterinary Clinic 1","29"
"F41","Feeder","BBMSL1 -> BBMSL1","","8"
"F41","Feeder","BBMSL1 -> BBMSL1","","14"
"F41","Feeder","BBMSL1 -> BBMSL1","","17"
"X28","Urban","LLV1 -> DICMS1","","2"
"13","Urban","GSBS9 -> QSDH11","","5"
"13","Urban","GSBS9 -> QSDH11","","8"
"13","Urban","GSBS9 -> QSDH11","","11"
"22","Urban","DCO1 -> AN1T21","","6"
"22","Urban","DCO1 -> AN1T21","","12"
"22","Urban","DCO1 -> AN1T21","","15"
"BM1","Marine","MTWS1 -> MPWS1","Marina Terrace Marine Transport Station","0"
"BM1","Marine","MWWS1 -> MPWS1","","1"
"F08","Feeder","DFCFC1 -> NTSPS1","Dubai Police Private Kindergarten","9"
"F20","Feeder","BBMS1 -> BBMS1","Al Wasl Road, Ferdous Building 2","12"
"F25","Feeder","FGBMLS1 -> QCRMT1","","9"
"F25","Feeder","FGBMLS1 -> QCRMT1","","12"
"F25","Feeder","FGBMLS1 -> QCRMT1","","15"
"F25","Feeder","FGBMLS1 -> QCRMT1","","18"
"F25","Feeder","FGBMLS1 -> QCRMT1","Hilton Jumeria Hotel, Accomodation","11"
"F31","Feeder","TMDBST1 -> DICMSL1","","0"
"F31","Feeder","TMDBST1 -> DICMSL1","","3"
"F41","Feeder","BBMSL1 -> BBMSL1","XL Tower 2","17"
"X28","Urban","LLV1 -> DICMS1","","33"
"X28","Urban","LLV1 -> DICMS1","","36"
"X28","Urban","LLV1 -> DICMS1","Dubai Scout Mission 2","14"
"22","Urban","DCO1 -> AN1T21","","1"
"22","Urban","DCO1 -> AN1T21","","4"
"22","Urban","DCO1 -> AN1T21","","7"
"53","Urban","GSBS4 -> ICPM1","","2"
"F08","Feeder","DFCFC1 -> NTSPS1","","12"
"F08","Feeder","DFCFC1 -> NTSPS1","","18"
"F08","Feeder","NTSPS1 -> DFCFC1","DAFZA","17"
"F20","Feeder","BBMS1 -> BBMS1","Emarat, Headquarters 2, Street 35","1"
"F21","Feeder","ANMS4 -> ANMS4","Al Nahda  Metro Bus Stop 2","20"
"F25","Feeder","FGBMLS1 -> FGBMLS1","","2"
"F25","Feeder","FGBMLS1 -> FGBMLS1","","5"
"F25","Feeder","FGBMLS1 -> FGBMLS1","","8"
"F25","Feeder","FGBMLS1 -> FGBMLS1","","11"
"F28","Feeder","ETMS2 -> ETMS2","","0"
"F28","Feeder","ETMS2 -> ETMS2","White Crown Tower","10"
"F35","Feeder","MEMS1 -> MEMS1","Al Barsha, Roots Saloon 2","8"
"F35","Feeder","MEMS1 -> MEMS1","Dubai Internet City Metro Bus Stop Lands","20"
"22","Urban","DCO1 -> AN1T21","Dubai Womens College Main Entrance 2","11"
"53","Urban","GSBS4 -> ICPM1","Dubai Textile City","21"
"BM1","Marine","MPWS1 -> MTWS1","Marina Terrace Marine Transport Station","3"
"F08","Feeder","DFCFC1 -> NTSPS1","DAFZA","10"
